0.054,0.024,0.012,0,3304776,
0.02,0.02,0,0,3304736,
0.02,0.02,0,0,3304736,
0.021,0.02,0,0,3304736,
0.021,0.02,0,0,3304736,
0.019,0.02,0,0,3304736,
0.023,0.02,0,0,3304736,
0.021,0.02,0,0,3304736,
0.02,0.02,0,0,3304736,
0.019,0.02,0,0,3304736,
0.02,0.02,0,0,3304736,
0.019,0.02,0,0,3304736,
0.019,0.02,0,0,3304736,
0.064,0.02,0,0,3304736,
0.066,0.02,0,0,3304736,
0.039,0.016,0.004,0,3304736,
0.043,0.016,0,0,3304736,
0.024,0.016,0.004,0,3304736,
0.027,0.02,0,0,3304736,
0.02,0.02,0,0,3304736,
0.02,0.012,0.008,0,3304736,
0.021,0.02,0,0,3304736,
0.02,0.016,0.004,0,3304736,
0.019,0.02,0,0,3304736,
0.021,0.02,0,0,3304736,
0.02,0.016,0.004,0,3304736,
0.025,0.016,0.004,0,3304736,
0.019,0.016,0.004,0,3304736,
0.02,0.012,0.008,0,3304736,
0.02,0.02,0,0,3304736,
0.036,0.02,0.008,0,3728768,
0.08,0.044,0.004,0.006,4311232,
0.065,0.028,0,0.001,4312464,?file=default.css&version=4.2.1&driver=mysql
0.074,0.028,0.004,0.001,4313904,?file=functions.js&version=4.2.1&driver=mysql
0.035,0.032,0,0.001,4094272,adminer.css
0.033,0.028,0.004,0.001,4310208,
0.042,0.028,0,0.006,4310208,
0.064,0.028,0.004,0.001,4310208,
0.048,0.028,0,0.001,4310208,
0.031,0.028,0.004,0.001,4310208,
0.059,0.032,0,0.001,4312832,?file=functions.js&version=4.2.1&driver=mysql
0.065,0.032,0,0.001,4312464,?file=default.css&version=4.2.1&driver=mysql
0.055,0.024,0.004,0.001,4094272,adminer.css
0.031,0.028,0,0.001,4310208,
0.062,0.028,0,0.001,4094272,adminer.css
0.065,0.028,0.004,0.001,4312832,?file=functions.js&version=4.2.1&driver=mysql
0.064,0.032,0,0.001,4312464,?file=default.css&version=4.2.1&driver=mysql
0.065,0.02,0.012,0.001,4310208,
0.031,0.028,0,0.001,4310208,
0.049,0.028,0.004,0.001,4310208,
0.042,0.032,0,0.001,4310208,
0.09,0.024,0.004,0.001,4094272,adminer.css
0.105,0.032,0,0.003,4312832,?file=functions.js&version=4.2.1&driver=mysql
